Fonte;Classe;Tipo;Agrupador;Composicao;UNIDADE;ORIGEM DE PREÇO;CUSTO TOTAL;VINCULO;Codigo
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97151 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;33,12;CAIXA REFERENCIAL;ASTU 0045.97151
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97152 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;37,74;CAIXA REFERENCIAL;ASTU 0045.97152
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97153 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;42,48;CAIXA REFERENCIAL;ASTU 0045.97153
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97154 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;47,23;CAIXA REFERENCIAL;ASTU 0045.97154
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97155 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;51,99;CAIXA REFERENCIAL;ASTU 0045.97155
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97156 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;61,82;CAIXA REFERENCIAL;ASTU 0045.97156
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97157 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;4,34;CAIXA REFERENCIAL;ASTU 0045.97157
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97158 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;4,88;CAIXA REFERENCIAL;ASTU 0045.97158
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97159 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;6,2;CAIXA REFERENCIAL;ASTU 0045.97159
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97160 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;7,51;CAIXA REFERENCIAL;ASTU 0045.97160
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97161 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;8,87;CAIXA REFERENCIAL;ASTU 0045.97161
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97162 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;10,21;CAIXA REFERENCIAL;ASTU 0045.97162
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97163 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;11,54;CAIXA REFERENCIAL;ASTU 0045.97163
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97164 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;12,88;CAIXA REFERENCIAL;ASTU 0045.97164
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97165 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;14,24;CAIXA REFERENCIAL;ASTU 0045.97165
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97166 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;17,12;CAIXA REFERENCIAL;ASTU 0045.97166
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97167 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 600 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;20,06;CAIXA REFERENCIAL;ASTU 0045.97167
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97168 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 700 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;22,8;CAIXA REFERENCIAL;ASTU 0045.97168
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97169 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 800 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;25,67;CAIXA REFERENCIAL;ASTU 0045.97169
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97170 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 900 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;28,55;CAIXA REFERENCIAL;ASTU 0045.97170
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97171 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1000 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;31,43;CAIXA REFERENCIAL;ASTU 0045.97171
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97172 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 1200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;37,51;CAIXA REFERENCIAL;ASTU 0045.97172
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97173 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 600 MM (24<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;33,29;CAIXA REFERENCIAL;ASTU 0046.97173
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97174 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 700 MM (28<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;38,5;CAIXA REFERENCIAL;ASTU 0046.97174
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97175 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 800 MM (32<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;43,71;CAIXA REFERENCIAL;ASTU 0046.97175
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97176 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 900 MM (36<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;48,9;CAIXA REFERENCIAL;ASTU 0046.97176
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97177 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1000 MM (40<U+0092><U+0092>) OU DN 1100 MM (44<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;59,31;CAIXA REFERENCIAL;ASTU 0046.97177
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97178 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1200 MM (48<U+0092><U+0092>) OU DN 1300 MM (52<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;69,73;CAIXA REFERENCIAL;ASTU 0046.97178
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97179 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1400 MM (56'') OU DN 1500 MM (60<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;80,11;CAIXA REFERENCIAL;ASTU 0046.97179
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97180 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1600 MM (64<U+0092><U+0092>) OU DN 1700 MM (68<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;90,52;CAIXA REFERENCIAL;ASTU 0046.97180
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97181 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1800 MM (72<U+0092><U+0092>) OU DN 1900 MM (76<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;103,38;CAIXA REFERENCIAL;ASTU 0046.97181
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97182 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 2000 MM (80<U+0092><U+0092>) OU DN 2100 MM (84<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;114,04;CAIXA REFERENCIAL;ASTU 0046.97182
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97183 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 600 MM (24<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;27,77;CAIXA REFERENCIAL;ASTU 0046.97183
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97184 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 700 MM (28<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;32,19;CAIXA REFERENCIAL;ASTU 0046.97184
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97185 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 800 MM (32<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;36,62;CAIXA REFERENCIAL;ASTU 0046.97185
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97186 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 900 MM (36<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;41,04;CAIXA REFERENCIAL;ASTU 0046.97186
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97187 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1000 MM (40  ) OU DN 1100 MM (44  ), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;49,89;CAIXA REFERENCIAL;ASTU 0046.97187
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97188 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1200 MM (48<U+0092><U+0092>) OU DN 1300 MM (52<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;58,75;CAIXA REFERENCIAL;ASTU 0046.97188
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97189 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1400 MM (56'') OU DN 1500 MM (60<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;67,57;CAIXA REFERENCIAL;ASTU 0046.97189
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0046 FORNEC E/OU ASSENT DE TUBO DE ACO COM JUNTA SOLDADA;;97190 ASSENTAMENTO DE TUBO DE AÇO CARBONO PARA REDE DE ÁGUA, DN 1600 MM (64<U+0092><U+0092>) OU DN 1700 MM (68<U+0092><U+0092>), JUNTA SOLDADA, INSTALADO EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;76,41;CAIXA REFERENCIAL;ASTU 0046.97190
